ETossed,Wins,Losses
Solobattle,"Frenzy(x8), Ice, Jah Ridin'(x4), Kins0(x2), MINT, Nicki, Pipsqueak, Professor Pro, ","Frenzy(x6), Ice, Jah Ridin', JohsyJam, Leffen(x4), Levingy, Mezzy, MINT(x3), Nicki(x3), Pipsqueak(x3), Professor Pro(x9), Savestate, Trif(x2), ",
Soonsay,"Azel, Bbatts, Ben(x2), Blues Clues, bobby big ballz(x2), Bones, Dacky(x2), Gahtzu, Jflex, JSalt, Justus, KoDoRiN(x3), Lotfy, Lucky, Medz(x2), Pappi, Quaff, Rei, SFAT, SFOP(x2), Smashdaddy, Tai, Typhoon(x2), Warmmer, Westballz, Zuppy, ","ARMY, Aura, Bbatts, bobby big ballz(x5), FatGoku, Gahtzu(x2), Ginger, Hax$, Hungrybox, Iceman, KoDoRiN(x4), Logan, Medz, moky, n0ne/ Bond / wizzyfan109(x2), S2J(x3), SFAT, Westballz, ",
Suezo,"Akir, Aura(x4), Bbatts, Blues Clues, Dawson(x4), Eggy(x2), Fank, Fizz, Freezus(x2), Just Jason, K8A(x2), Kata(x2), Khryke, Koobie, Krudo, Lotfy(x4), Mekk, moky, Morsecode762, Neologism, NoFluxes(x2), Slowking, The Leaf, Trail(x3), Travioli(x2), Warmmer, Whiskers, Zeeker(x4), ","404Cray, ACSL, Akir, Aklo(x4), arby(x2), Avery, Bbatts(x2), Ben(x2), Ben Snape, Blues Clues, bobby big ballz(x5), Brand0, CeeLew(x3), CocoBunniez, Crow, DannyPhantom(x2), DarkHero(x2), Den(x2), DontTestMe, Drephen(x3), DrewNG, Elysian(x2), Epic Murloc, Epoodle, Erik, eve, Fable, Faust, Forrest, Franco, Ginger(x2), Golden, Googlyeyed, Goosekhan, Grab(x3), Hax$, Hungrybox(x2), iLL BiLL, Jada, Jflex(x5), Jimmy Jockstrap, Joey Donuts, JSalt(x5), Juicebox, Justin Joe, K8A(x2), Kalamazhu, keane, Khryke, Killablue, KoDoRiN(x2), Komodo(x3), Kongee, Koobie(x3), Krudo, lil malaria, lloD, Lotfy(x2), LuigigoShard, Mad Tyro, Maher, MOF, Morsecode762(x3), Mot$, Mr. Butterfly, NoFluxes, olé, Paladin, Panda(x4), PanterA, Pappi(x7), Phorox, Pi#374, Pound, Redd, Reesch, regEx(x2), rom, Ryobeat, Salt(x3), Schnurb, SDJ(x2), Sevan, Seven(x2), Siddward, Skerzo, Slowking, Sneakywill, The Leaf, The Wolverine, Timebones, Trail, Travioli(x2), Voo, Warmmer, Younger(x3), Zab, Zamu, Zeeker(x3), Zuppy(x2), ",
Swift,"Aklo(x2), Bbatts, bobby big ballz, Bones(x3), Captain Smuckers, Dawson, Ginger, htwa, Hungrybox, Jflex(x3), Jojo(x2), K8A, Khryke(x2), KoDoRiN, Logan, Mot$, null, Skerzo, Slowking(x2), Sora/Joshman, Whiskers, Zeeker, ","Aklo(x2), Bbatts, Ben, Drephen, Ginger, Hungrybox(x3), iBDW, Leffen, Logan, Mang0, n0ne/ Bond / wizzyfan109, Pipsqueak, Pleasantries, Ryobeat, Zamu, ",
The Leaf,"Aura, Blues Clues(x2), Freezus, JSalt, Lotfy, Mekk(x6), Michael, Mot$, NoFluxes(x2), Palpa(x7), Panda, Pappi, Rei, Salt, Suezo, TheSWOOPER, ","Akir, ALP, Bbatts, Blues Clues(x2), bobby big ballz(x4), Brad, Casper, Darrell, Dova(x3), Elliot, Flash, Gahtzu(x2), Goosekhan, Jflex, JSalt(x2), K8A, Kalvar, Kitcatski, Knux, Kürv(x2), Logos, Louis, LuigigoShard, Majersk, Mekk(x6), Mr. Butterfly(x2), NoFuxGiven, Palpa(x14), Panda, Panko, Pappi(x6), Rei(x2), Rick, Rocket, Salt(x3), SDJ(x2), SFAT, SnooSnoo, Suezo, tatuwah(x2), TheSWOOPER, Typhoon, Unsure, Vincessant, Wicked_, yingling, ",
Trail,"Aura(x3), Ben, Chudat, Dawson, Fank, Jflex, K8A(x2), Koobie, Mot$, NoFluxes, Pappi(x2), SFAT, Suezo, Travioli, Warmmer(x2), Zeeker, ","Abe, Aklo, Arty(x6), Axe, bambi, Bbatts(x4), Ben, Blues Clues, Bones, Cam Bailey(x2), Colbol, cool bruh, Dash, Dawson(x4), Den, Domke, Dr. Lame, Drephen(x2), DrLobster, dyslex_reads, EduPorp, Eggy(x3), Epoodle, Erik(x3), eve, Fank(x2), FMB5k, Forrest, Freezus, Gahtzu, Ginger, Googlyeyed, Grab(x2), grownworkingman(x2), Guex, Hax$, HELLA, Hexjo, htwa, Husband, iBDW, Jflex(x2), JJM, JSalt(x2), K8A, Kalvar(x2), Khryke(x2), Kikoho(x2), Koobie, Lamdin, Lotfy(x2), LuigigoShard, Mekk(x2), mgmg, MOM!(x3), Mono, Mot$, n0ne/ Bond / wizzyfan109, NoFluxes(x5), Paladin(x2), Panda, Peachy Keen, Phrigid, Pi#374(x2), Plank, Prometheus, Question, rabit!, Rocket, Shmeeli(x3), Skerzo, Slowking, Stacy's Stepdad, Starlord, Steoh, Suezo(x3), Top Player Yasu, TPN, Travioli, Vintage, Wally, Warmmer(x4), Willy P, Younger, Zuppy(x2), ",
Travioli,"Akir, Aura, Bbatts(x4), Blues Clues(x2), Chape, Fizz, Forrest, Freezus, Grab, Khryke, Koobie, Lotfy(x5), Morsecode762, NoFluxes, NOOT, Ober, Pappi, Ringler(x2), Salt(x2), Skerzo, Slowking(x2), Suezo(x2), Trail, Wally, Zamu, Zeeker, ","119Mista, 2saint, 8va, 901|Austin, aCID, Adust, Ahmad, Akir(x3), Aklo(x2), Alextrer, Bagels(x2), Bbatts(x4), Bekvin(x2), Ben(x3), Bladeefan829, bobby big ballz(x3), Bobby Frizz, Bones, Buckets, C-bass, CakeAssault, Cannagar, CardboardBear(x2), CeeLew(x3), Chem, Crow, DannyPhantom, Dawson(x2), DD, Den(x2), dudutsai, Eggy(x5), elclid, Epoodle(x2), Error, eve(x2), Fable, Fank(x2), Fat Penguin, FatMax, Faust(x5), fenceturtle, FendrickLamar, Forrest, Franco, Free Palestine, g-regulate, Ghostsoap, Ginger(x3), Googlyeyed(x2), Grab(x2), haunter, Heartstrings, Hua 桃花公主, Hungrybox, Hunybear, Jada, Jank, jess*, Jet(x2), Jflex(x2), Jimmy Jockstrap, Jojo, Joka, JSalt(x5), Justin Joe, Justus, K8A(x2), Kaloshade, Kalvar, KELLZ(x2), KeyboardMarth(x2), Khryke, Kikoho, Killablue, Komodo, Koobie(x2), Kuma, Kuyashi(x2), Kürv, L33B, LimeSurge, Logan, Lotfy, Lucky, Maher, MessiSTL, mgmg(x2), Michael, Morsecode762, Mot$(x3), Mud, n0ne/ Bond / wizzyfan109(x2), Nakamaman(x3), Nard Dawg, Neologism(x2), New Guy(x3), NoFluxes, Ober(x2), OG Swaglord(x3), OkayP.(x2), Paladin(x4), Panos, Papadav3, Pappi(x4), Penn, Phantom Airline, phx(x2), Pi#374, Pinky, Polish, r, rabit!(x2), Rasen(x2), Ringler, Rome0, RyGuy(x2), Ryobeat, Salt, Sandbag, SDJ, SFAT, Shinobi, Shleeum, Sicca, Siddward(x2), Slowking(x10), Sneakywill(x2), Sodabro, Solomon(x2), Sp1nda(x2), Stone, Strazz, Suezo(x2), Tanooki, TheRealThing, TheSWOOPER, tiebex, Trail, Uncle B(x2), Unsure, Warmmer, Wicked_, William, YokaiNels, Younger(x5), YungSpaceJam(x2), YungWaff, Zamu(x4), Zanya, Zealot(x2), Zuppy, Zuraco, ",
Typhoon,"Blues Clues(x2), bobby big ballz(x3), Dacky, Justus(x3), Khryke, Neologism, NOOT, Pappi(x6), Quaff, Rei, The Leaf, Umarth, ","a-on, Albert, Anchovy(x2), Arcadia(x2), Aura(x2), Axe, Bimbo, Blea Gelo, Blues Clues(x6), bobby big ballz(x9), BQ, Buttlet(x3), Casper, Chango(x2), cliché, CowCowCowCowCow, Dacky, DD(x3), Dova, Dream, Eddy Mexico(x5), Egg$, Forrest, Gahtzu, Gulu, haunter(x2), Iifter(x2), INDY(x2), Jflex(x3), Juicebox, KoopaTroopa895, Kürv, LAG(x4), Lego, Logos(x2), Lotfy, Lucky(x2), Mad Tyro, maxi, Maybe, Medz(x8), Midnight Blue(x2), mintea, Mot$, Mr. Butterfly, MT, n3zModGod, Nathan, Nickemwit, NOOT, OkayP., Oreo, PanterA(x3), Pappi(x5), Redcoat, RedX, Rei(x4), Rocket(x2), Rocky, S2J, Salt(x3), SDJ, SFAT, SluG, Smashdaddy(x3), Snap, Soonsay(x2), Steech(x2), Stiv(x4), Tanooki(x2), Tommy, Umarth, Westballz, Willy P, WING, Yamasaki(x2), yingling(x2), Yu, Zanya, Zealot, ",
Unsure,"Akir, Bbatts(x2), bobby big ballz, Dawson(x2), Eggy(x5), Fizz(x2), Forrest, Gahtzu, htwa, Jflex(x2), Koobie, Logan, Lotfy, Mekk, Michael(x3), NoFluxes, Ober(x5), orly, Panda, Pappi, Skerzo(x5), The Leaf, Travioli, Warmmer, Zeeker, ","$limChang, Aklo(x2), ALP, Arpy, Axis, Azzu(x3), Ben(x2), bobby big ballz(x2), Bones(x2), Chem, DannyPhantom(x2), David 2, DontTestMe, Dope, Dragoid, Drephen(x2), Dz, Eddy Mexico, Eggy, EggZachary, Epoodle, Fank(x3), Fasthands, Ferd, Fluid(x3), FoxCap(x3), Frenzy, GI0GOAT, Grab, Hungrybox, Hyunnies, Jakespeare, Jflex, Jmook, Joey Donuts, JustJoe(x3), Justus, Killablue(x2), KoDoRiN, Komodo, Koobie, Krudo, Larfen, LeZagna, Logan(x4), Lotfy(x3), LuigigoShard, macdaddy69, maxi, Mekk(x2), Michael(x10), n0ne/ Bond / wizzyfan109, Neologism, NoFluxes(x2), Oaty, Ober(x17), Panda, Pappi, Phantom Airline, Pleeba(x5), Polish, Preeminent, prof, Q?(x4), Rasen(x2), ronnie, Sago, shabo, Sicca, Skerzo(x21), Slowking, SluG, Speez, Stazz, surskim, TheRealThing, Voo, Vorporal, Warmmer, yuk, Zain, Zamu(x3), Zuppy(x2), ",
Wally,"Bbatts(x3), Bones, Captain Smuckers, Casper, Chem, Dawson, Fizz, Jflex(x5), Jojo(x2), Just Jason, K8A, Kalvar(x3), Khryke, KoDoRiN, Morsecode762, Mot$(x10), Ryobeat(x2), Skerzo, SluG(x2), TheSWOOPER, Trail, Warmmer(x2), Whiskers, Zamu, ","2saint, 404Cray, Aklo, angst, Axe, Bbatts, Ben, Bones(x2), Captain Smuckers, Error(x5), Fable(x3), HOBORG(x2), iBDW, Jflex(x4), JJM(x2), Jojo(x4), Kalvar, Kevorkian, Khryke, KoDoRiN, Kuma, Louis(x2), Maelstrom(x2), Majersk(x2), Mekk, Morsecode762, Mot$(x12), NoFluxes, Panos, Polish(x3), Ryobeat(x2), Swedish Delight, TheSWOOPER(x4), Warmmer(x2), Whiskers(x2), Young Neil, Zamu, ",
Warmmer,"Akir(x2), Aklo, Bbatts(x3), Ben, Bones, Captain Smuckers(x2), Dawson(x4), Drephen, Eggy(x2), Fizz, Jflex(x6), Jojo(x4), K8A, Khryke(x4), Komodo, Koobie, Leighton, Lotfy(x2), Michael, Mot$(x3), NoFluxes(x2), Pappi(x2), Ryobeat, Salt, Slowking(x2), Suezo, TheSWOOPER(x3), Trail(x5), Travioli, Unsure, Wally(x2), Zealot, Zeeker(x3), ","33 toes, Adam001, Akir(x2), Aklo(x3), Aura, Axis, Balloon Day, Bbatts, Ben Snape, Blues Clues, bobby big ballz(x3), Bones, Captain Pretzel, Captain Smuckers, catsonthemoon, CeeLew, Chem, Chipotle+, CmG, Colbol, DarkHero, Dawson, Drephen, Drio, DrLobster, dudutsai, Eggy, eve(x2), Future Shock, Ginger(x2), Googlyeyed, Grab, Heartstrings, iBDW, Jada, Jammy, Jamrun, Jflex(x3), Jojo, JSalt(x2), Just Jason, Kalvar(x2), Karan, Kikoho(x2), KoDoRiN(x2), Logan(x3), Lotfy, lucky_dude_1, Medz, MOM!, Mot$, NoFluxes, OkayP., Ossify, OtES, Pappi(x2), Q, Rabbit, Redcoat, Ringler, Rishi, Seven, Siddward(x2), sinbad, Skerzo, Slowking(x2), SloX, SluG, Snap, Sodabro(x2), Soonsay, Suezo, TheRealThing, TheSWOOPER(x5), tomdollars, Trail(x2), Unsure, Wally(x2), Zamu, ",
Whiskers,"Bbatts, Blues Clues, Captain Smuckers, Chem, DontTestMe, Eddy Mexico, Jflex, Jojo(x3), Just Jason(x2), K8A(x3), Kalamazhu, Khryke, Mekk, Mot$, Salt, TheSWOOPER, Wally(x3), ","Abso, Aklo(x2), Bbatts, bobby big ballz(x2), Captain Smuckers(x3), DontRestMe, Dream, Ginger, Jflex, Jojo, JSalt, Juicebox, KoDoRiN, Komodo, Lotfy, moky, Mot$, NoFluxes, Suezo, Swift, Wally, Zealot, Zuppy(x2), ",
Zealot,"Azel, Ben(x3), bobby big ballz, Bones, Captain Smuckers, Dacky, Dawson, Drephen(x4), Eddy Mexico, Eggy, Far!(x2), FatGoku, Fizzwiggle(x6), Jflex(x3), JSalt(x2), K8A(x2), Komodo, Koobie(x2), Magi, NoFluxes, NOOT, OkayP., Pappi(x5), Salt, SDJ(x2), Secrets, Skerzo(x2), SluG, Smashdaddy(x6), Travioli(x2), Typhoon, Whiskers, Zamu(x2), ","2saint, Axe, bobby big ballz, Bones, DD, Eddy Mexico, Egg$, Eggy, Fizzwiggle, Gahtzu(x4), Ginger, Grab, iBDW, Just Jason(x2), Komodo(x2), LAG, Leighton, mvlvchi, Pappi(x3), Rocky(x2), SFAT, SFOP, Smashdaddy, TheRealThing, Warmmer, Wizzrobe, Zamu(x2), ",
Zeeker,"Bbatts(x3), Blues Clues, bobby big ballz(x2), Bones(x2), Dawson, Fank(x2), Freezus(x3), htwa, Jflex, Jojo, Justus, K8A(x5), Kalvar, NoFluxes(x3), NOOT, Skerzo, Slowking, Suezo(x3), Wally, Zamu, ","2saint(x3), aCID, Ad, Akir(x6), Alex18+(x3), Alextrer, Aura, Bbatts(x7), Ben(x2), Blues Clues, bobby big ballz(x4), Busy Boi(x2), Captain G(x2), Captain Pretzel, Chi, CmG(x2), CowCowCowCowCow, Crow, DannyPhantom, Dawson(x7), Den, Dope(x2), Drephen(x2), DrLobster, Dusk, E-tie, Egg$, Eggy, Epic Murloc, Erik, eve(x2), eveningstar, Fable, Fank, Faust(x2), Freezus, Fro116, Gahtzu(x2), geg :), Ginger, Golden, htwa(x2), Hungrybox, iBDW, Inky(x2), Jada(x2), Jakespeare, Jflex(x5), Jmook(x2), JSalt, Juicebox, Justus, Kalvar, Khryke(x2), Kikoho(x2), KoDoRiN, Koobie(x6), Kuyashi, LAG, Liquid(x2), Logan, Lotfy(x2), Lunar Dusk, lynxwynx, Mad Tyro, Maher, MOF(x2), moky, Mot$(x2), Mud, n0ne/ Bond / wizzyfan109, Neenor, Neologism(x3), Nick, NoFluxes(x5), Nyte, Paladin(x2), Panda(x5), Panko, Panos, PanterA, Pappi(x4), Pelipper, Phrigid, Pi#374(x2), Prof_Surg3, Quaff, Question, rabit!(x3), Redcoat, Reesch, Rei, Seven, shoelegend88, Sicca, Simmons, Slowking, SmashBob SquarePants, Smashdaddy, Sneakywill, SnooSnoo, Snow Halation, Sodabro(x2), Solomon, Sp1nda(x2), Spades, Stiffff, Suezo(x4), Swift, The Wolverine, TheSWOOPER, Toffee, Townes, TPN, Trail, Travioli, Unsure, Vianny, Vigilance, Warmmer(x3), Westballz, Willy P(x3), ycz6, Young, YoungMain, Zamu(x2), Zuppy(x2), Zuraco, ",
Zuppy,"2saint, Aklo(x3), Bbatts, Ben(x2), bobby big ballz(x3), Bones, Chem, Colbol(x3), Dacky, Dawson(x7), Drephen, Eggy, Fank(x2), Forrest(x2), Freezus, htwa, Jflex(x8), Jojo, JSalt(x3), Juicebox, K8A(x2), Kalvar, Kata(x2), Komodo, Koobie, Krudo, Logan, Lotfy(x2), Mekk, Mot$(x2), Neologism(x2), NoFluxes, Palpa, Panda, Pappi(x3), Slowking(x2), Suezo(x2), TheSWOOPER(x2), Trail(x2), Travioli, Unsure(x2), Whiskers(x2), Zamu, Zeeker(x2), ","2saint, Aklo(x4), Ben, bobby big ballz(x4), Bones(x2), Chem(x2), DarkGenex, Dimension, Drephen, Eddy Mexico, Fank, Forrest(x3), Gahtzu(x3), Ginger(x3), Grab(x2), Hax$, htwa, Hungrybox, i still love you, iBDW, Jflex(x3), Juicebox, Koobie, Krudo, Logan(x5), Mot$(x2), n0ne/ Bond / wizzyfan109(x3), Neologism, Panda(x4), Pappi, Pi#374(x2), Prometheus, Rocky, ronnie, Ryan Ford, Skerzo, Slowking, SluG, Smashdaddy, Soonsay, Younger, Zamu(x2), ",
