ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
NOOT,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-7,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-3,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,6-6,0-0,0-0,1-1,0-0,0-0,1-0,1-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,0-0,0-0,0-0,0-1,0-1,0-0,"Jaywalker, Iceman, SpacePigeon, Iifter, jams, AlyJ, Azusa, Traplord, Darrell, SpacePigeon, Marrgasm, Nathan, Breakfast, Kürv, Arcadia, Kürv, Dova, RedX, Zamorita, PanterA, Steech, Steech, bobbybigballz, bobbybigballz, SubTails, Cow, PanterA, Steech, NIMrod, Bimbo, Bimbo, Yaj, Crow, Phorox, Cat Named Virtue, Byrdman",
Ober,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,5-14,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-2,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-2,0-1,0-0,5-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-5,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,5-1,0-0,N/A,0-0,2-0,0-0,0-4,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,7-23,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,2-1,0-0,17-5,0-0,0-0,0-0,0-0,0-0,0-0,"Will Pickles, Fable, Googlyeyed, mvlvchi, DrLobster, hot, Younger, Anchovy, Pleeba, Fluid, tentpoles, Pleasantries, Pleasantries, Pleeba, Q?, Shmeeli, GranmasGotGame, Drew, GI0GOAT, JustJoe, Fluid, Fluid, Azzu, Q?, Hyunnies, Pablo, Pleeba, Fluid, Q?, Fluid, Fluid, Siddward, Wieners, Googlyeyed, Toast, Sago, TechDeath, Brazmonkey, Brazmonkey, Genghis Connor, TechDeath, Pleeba, Sago, Pleeba, JustJoe, Azzu, Pops, Pops, lil malaria",
OkayP.,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-1,1-0,2-1,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,1-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,N/A,0-0,0-0,1-2,0-0,0-0,2-0,0-0,1-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,"DarkHero, blargh257, $limChang, Zega, Logos, Sand, Fable, Fable, Fable, Fable, Logos, Logos, Firebolt",
orly,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,2-20,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,7-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-5,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,"Reeve, lexor, Jada, Anwarrior, Q?, Anwarrior, JeffWa, GI0GOAT, JSP, Mattchu, Kendrick, Dz, Dz, Lowercase hero, Ryse, JustJoe, Arpy, squizzage, Ryse, Kendrick, Ryse, Ferocitii, Aero, DannyPhantom, squizzage, Ryse, TruffShuff, TruffShuff, Mattchu, Mattchu, DannyPhantom, Grab2Win, Mattchu, Mattchu, Lowercase hero, Lowercase hero, TruffShuff, Kendrick, BigDK",
Palpa,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,6-2,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,N/A,5-8,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,14-7,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,"KoopaTroopa895, bobbybigballz, tatuwah, Air, AlyJ",
Pappi,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-5,0-0,0-0,0-0,0-1,1-1,0-0,1-4,1-3,0-0,0-0,1-0,0-0,0-0,0-1,2-1,1-2,0-0,0-1,0-5,0-1,1-6,0-0,0-2,0-0,1-0,0-4,0-0,0-0,0-0,0-1,0-0,7-1,0-0,0-0,0-0,0-0,0-0,0-0,2-4,0-0,0-0,0-0,0-0,0-0,17-12,0-0,0-0,0-0,1-0,0-5,1-2,2-0,1-1,2-1,0-0,0-0,0-0,0-0,0-0,2-4,0-0,0-0,0-2,0-1,1-0,3-0,3-10,6-4,2-2,0-0,0-0,0-0,3-0,0-1,8-1,1-0,7-7,0-2,3-0,0-0,0-0,0-0,8-2,0-1,0-0,9-3,0-0,0-0,6-8,3-0,0-0,0-1,1-1,1-0,1-3,2-2,2-0,0-0,0-0,1-1,5-0,0-0,0-2,1-0,2-5,6-6,4-0,2-1,0-0,8-5,N/A,0-0,0-2,2-3,0-0,13-7,1-1,9-10,0-4,1-0,1-1,0-1,0-0,0-0,0-1,7-0,0-0,6-1,0-2,4-1,5-6,1-1,1-0,2-2,0-0,3-5,4-0,1-3,"Yamasaki, Iifter, ALP, KoopaTroopa895, Axon, Firebolt, mvlvchi, Zhyrri, Wassabi, KoopaTroopa895, Spoodily, Arcadia, imoutoslayer, soccermom69, TreyTheTrashman, Elliot, SuperCuak, ALP, Connor, Iron, DD, Midnight Blue, TPN, 404Cray, PanterA, PanterA, Buckets, aCID, aCID, Goosekhan, LuigigoShard, Pi#374, CmG, Hulka, Anjo, PanterA, PanterA, Kürv, Nathan, Vintage, Blandeezy, Iifter, Iifter, mintea, Nathan, LuigigoShard, Mud, Kimchi, Kimchi, John Wick, DD, SnooSnoo, Dimension, Zion, Darrell, Midnight Blue, El Link, DD, Cat Named Virtue, Goosekhan, Steech, Rasen, BIG PIKA, Dizzy, haunter, Weeg, Harout, Paladin, Justin Joe, John Llawless, MT, blargh257, blargh257, Dova, 901|Austin, Sker, Case, aCID, LAG, haunter, New Guy, ALP, ALP, HaxMoneyHulkHogan, Midnight Blue, Darrell, rom, John Llawless, Sodabro",
Pipsqueak,0-1,3-3,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,6-2,0-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,7-3,0-0,0-0,4-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-1,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Mahie,
Quaff,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,5-2,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,N/A,0-0,0-0,1-0,0-0,1-0,4-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,"Connor, Iifter, Iifter, Asashi, Asashi, MT, Iifter, MT, Azusa, Egg$, $limChang, Fortnite, DMT, Pilot, Omar, Omar, Kürv, Goosekhan, Ivayne, Kürv, n3zModGod, Peachy Keen",
Rei,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,3-0,0-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-3,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,2-3,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-1,0-0,0-2,0-0,0-0,3-2,0-0,0-0,N/A,4-0,0-1,0-0,0-0,0-0,0-0,1-2,0-0,1-2,0-0,0-1,0-0,0-0,2-1,0-0,0-0,4-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,"Kürv, Noire, ycz6, Traplord, Elliot, Dova, Darrell, Robs, Noops, CPU0, Traplord, LAG, LAG, Traplord, cliché, Vincessant, PanterA, haunter, Lengüitas, cliché, Kürv",
Ringler,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-2,0-2,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-4,N/A,0-0,0-0,0-2,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,"Sirmeris, Fury, Third Strongest, Chango, Golden, Ghost Rider, Gooms, L  d00pee, Asashi, lucky_dude_1, Sp1nda, Junk, eve, MegaXmas",
Salt,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-1,2-4,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,1-0,0-0,0-2,0-0,0-1,0-0,0-0,0-0,3-7,0-0,0-0,0-0,0-0,1-0,1-1,0-0,2-0,2-4,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-1,0-1,6-1,1-1,2-0,0-0,0-0,1-0,2-0,0-0,0-0,3-1,0-1,1-1,1-0,0-0,2-0,0-0,0-0,2-0,0-3,0-0,3-4,0-0,0-0,1-4,0-0,0-0,1-0,2-1,0-0,0-1,3-1,2-0,0-0,1-4,1-4,1-1,0-0,0-1,1-0,2-2,0-0,0-0,0-1,0-0,1-0,7-13,0-0,0-1,1-0,0-0,N/A,0-0,0-5,0-1,0-0,2-3,0-1,0-0,0-0,0-0,3-0,0-0,3-1,0-0,1-2,3-0,0-0,1-0,0-1,0-1,0-1,0-0,0-0,"KoopaTroopa895, DannyPhantom, Phil, WiLD, Ryan Ford, Vish, Bobby Frizz, DarkHero, Logos, Wassabi, Noire, PanterA, Pi#374, Pi#374, Majersk, Joka, Panko, Kürv, Ivayne, Asashi, Dova, Dova, Snap, Snap, DD, Solomon, Cast, Cast, Midnight Blue, Den, CeeLew, Dash, Sneakywill, Crow, Mono, Buttlet, Buttlet, CeeLew, haunter, haunter, LAG, Cent, CeeLew, SDeems, Joey Donuts",
Secrets,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,N/A,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,"Balloon Day, AlyJ, Kürv, Peachy Keen, Jet, Louis, Equilateral, DASH, Redcoat, Logos, Schythed, Bobby Frizz, Schythed, Egg$",
SDJ,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,1-1,1-0,1-2,0-0,0-0,0-0,0-0,2-1,0-0,0-0,1-1,0-0,0-0,0-2,1-0,1-0,0-0,1-0,0-0,1-0,0-8,0-0,0-0,0-0,0-0,0-0,9-13,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-2,1-1,0-1,0-0,0-0,0-0,0-2,0-1,1-0,0-0,2-2,0-1,0-0,0-0,0-0,0-0,3-2,0-0,0-0,1-1,0-0,0-0,5-6,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,2-0,1-1,0-1,0-2,1-0,0-0,1-1,10-9,0-0,0-1,0-0,2-0,5-0,0-2,N/A,1-7,0-0,0-1,0-1,0-0,0-0,0-0,2-0,0-0,2-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,"Elysian, DannyPhantom, codeman, KBarry, SpacePigeon, redpandamaster, ALP, Fury, Will Pickles, Cilan, TzD, Fable, John Llawless, Dizzy, ZeldaFool, Umbr, Rick, John Llawless, DD, KGB, Fury, bluezaft (inactive), bobbybigballz, bobbybigballz, Sker, Pops, Maximus, Fury, Studebacher Hoch, Fury, Will Pickles, Will Pickles, Cilan, Miles, Sker, rabit!, Elysian, Elysian, Pops",
SFOP,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-2,0-0,0-0,0-0,0-0,0-2,0-0,1-0,2-1,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-1,0-0,0-1,0-0,1-0,1-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-3,0-0,0-0,0-0,0-0,0-0,7-6,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,2-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,3-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,4-0,4-0,0-0,0-4,0-0,0-0,1-0,0-0,7-1,N/A,0-0,1-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"yingling, Ribboned Ace, Vish, Chummi, Chummi, Logos, ronnie",
Skerzo,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-4,1-4,27-18,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-1,1-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-1,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-1,0-1,2-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,5-1,0-0,0-0,6-0,0-0,0-0,0-0,0-0,3-1,0-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,0-1,1-0,1-1,0-0,0-1,0-1,1-5,0-0,2-1,0-1,5-2,0-0,23-7,0-0,5-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-1,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-0,0-1,0-0,21-5,0-1,1-0,0-0,0-2,0-1,1-0,"Conman, Siddward, Dope, Epoodle, Siddward, DontRestMe, Nakamaman, Azzu, Reeve, Blue, Pleasantries, GI0GOAT, JustJoe, FoxCap, Fluid, Q?, Frost, Casual, Hyunnies, Fluid, Killablue, Fluid, LLDL, Skechers, Maher, TechDeath, Arpy, Joey Donuts, DrLobster, JustJoe, JustJoe, Azzu, FoxCap, Pleeba, DannyPhantom, TechDeath",
Slowking,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-1,0-1,0-1,0-2,1-3,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-1,0-0,0-0,1-0,1-5,0-0,0-0,0-1,0-0,0-0,1-0,0-1,0-0,3-1,2-3,0-0,1-0,0-0,0-0,0-0,1-0,0-0,5-2,0-0,0-0,3-0,2-0,0-0,2-0,0-1,3-0,0-0,0-0,0-4,0-0,0-1,4-2,0-0,0-0,0-0,5-1,0-0,0-0,3-0,2-1,0-0,2-2,0-3,0-0,0-0,0-1,1-0,4-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,2-1,2-0,3-2,0-0,1-0,0-1,1-0,N/A,0-0,0-0,0-0,0-0,1-1,0-2,0-0,1-0,10-2,0-0,1-0,0-0,2-2,0-0,0-0,1-1,1-2,"i still love you, Ahmad, Golden, Joey Donuts, Faust, Darktooth, Wicked_, Uncle B, Lunar Dusk, Lunar Dusk, Isles, Lunar Dusk, Pi#374, FMB5k, MOF, Boigan, The Fury, The Fury, CardboardBear, Russell, Bobby Frizz, Bobby Frizz",
SluG,0-3,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-2,0-0,0-0,1-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-2,3-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,2-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,4-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,3-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-2,1-0,0-0,0-1,0-0,1-0,"Kürv, Zion, Zion",
